Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation,,,,
Date,Time,μg/m³,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5/24/2016,9:25:00,29.02,30.471,,30.6,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:25:10,37.641,37.641,22.9,31.5,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:25:20,23.144,24.59,,31.8,,,,,,,,,,,,,,,
5/24/2016,9:25:30,54.979,56.425,,31.7,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:25:40,26.034,27.481,22.9,31.8,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:25:50,52.172,55.07,,31.1,,,,,,,,,,,,,,,
5/24/2016,9:26:00,26.075,26.075,,31.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:26:10,63.686,63.686,23,31.5,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:26:20,57.872,59.319,,31.7,,,,,,,,,,,,,,,
5/24/2016,9:26:30,37.585,37.585,,32,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:26:40,26.042,28.936,22.9,31.7,,1.96,0.81,0.5,,,,,,,,,,,
5/24/2016,9:26:50,28.951,28.951,,31.5,,,,,,,,,,,,,,,
5/24/2016,9:27:00,40.374,40.374,,32.9,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:27:10,40.248,43.123,22.8,33.9,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:27:20,100.738,102.177,,33.5,,,,,,,,,,,,,,,
5/24/2016,9:27:30,51.844,53.284,,33.3,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:27:40,31.726,33.168,22.9,32.8,,1.96,0.82,0.5,,,,,,,,,,,
5/24/2016,9:27:50,34.66,36.104,,32.3,,,,,,,,,,,,,,,
5/24/2016,9:28:00,23.161,23.161,,31.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:28:10,11.538,12.98,22.8,32.8,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:28:20,14.396,15.836,,33.4,,,,,,,,,,,,,,,
5/24/2016,9:28:30,14.399,14.399,,33.3,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:28:40,28.779,30.218,22.9,33.6,,1.96,0.82,0.5,,,,,,,,,,,
5/24/2016,9:28:50,51.856,51.856,,33.2,,,,,,,,,,,,,,,
5/24/2016,9:29:00,23.034,23.034,,33.4,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:29:10,54.756,54.756,23,33.1,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:29:20,80.6,80.6,,33.5,,,,,,,,,,,,,,,
5/24/2016,9:29:30,28.838,28.838,,32.9,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:29:40,46.062,47.502,22.9,33.5,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:29:50,37.49,37.49,,32.9,,,,,,,,,,,,,,,
5/24/2016,9:30:00,28.759,28.759,,33.8,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:30:10,54.842,56.285,22.9,32.6,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:30:20,75.162,76.607,,32,,,,,,,,,,,,,,,
5/24/2016,9:30:30,49.212,50.66,,31.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:30:40,20.274,23.171,22.8,31.3,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:30:50,28.908,30.354,,32,,,,,,,,,,,,,,,
5/24/2016,9:31:00,40.847,42.305,,28.4,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:31:10,52.118,53.566,23,31.5,4.9,1.94,0.8,0.5,,,,,,,,,,,
5/24/2016,9:31:20,28.927,30.373,,31.8,,,,,,,,,,,,,,,
5/24/2016,9:31:30,20.234,21.679,,32.1,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:31:40,28.951,30.399,22.8,31.5,,1.95,0.8,0.5,,,,,,,,,,,
5/24/2016,9:31:50,46.258,46.258,,32,,,,,,,,,,,,,,,
5/24/2016,9:32:00,20.293,21.743,,31,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:32:10,17.414,18.865,22.9,30.6,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:32:20,23.218,24.669,,30.6,,,,,,,,,,,,,,,
5/24/2016,9:32:30,17.424,20.328,,30.4,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:32:40,17.431,17.431,22.8,30.2,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:32:50,20.336,21.788,,30.2,,,,,,,,,,,,,,,
5/24/2016,9:33:00,46.509,46.509,,30,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:33:10,60.867,62.316,22.8,31.1,4.9,1.96,0.81,0.5,,,,,,,,,,,
5/24/2016,9:33:20,40.476,41.922,,32,,,,,,,,,,,,,,,
5/24/2016,9:33:30,26.083,28.981,,31.1,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:33:40,37.641,37.641,22.8,31.5,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:33:50,31.866,31.866,,31.3,,,,,,,,,,,,,,,
5/24/2016,9:34:00,31.863,34.76,,31.3,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:34:10,46.351,46.351,22.8,31.3,4.8,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:34:20,34.824,34.824,,30.6,,,,,,,,,,,,,,,
5/24/2016,9:34:30,31.931,33.383,,30.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:34:40,37.748,37.748,22.8,30.4,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:34:50,43.534,43.534,,30.6,,,,,,,,,,,,,,,
5/24/2016,9:35:00,34.756,37.652,,31.3,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:35:10,26.123,26.123,22.8,30.5,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:35:20,52.193,53.643,,30.9,,,,,,,,,,,,,,,
5/24/2016,9:35:30,20.289,20.289,,31.1,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:35:40,60.804,60.804,22.8,31.5,,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:35:50,49.003,49.003,,33,,,,,,,,,,,,,,,
5/24/2016,9:36:00,20.169,23.05,,33.2,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:36:10,31.743,33.186,22.9,32.7,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:36:20,34.679,37.569,,32.2,,,,,,,,,,,,,,,
5/24/2016,9:36:30,37.56,39.005,,32.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:36:40,37.577,39.022,22.8,32.1,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:36:50,20.238,20.238,,32,,,,,,,,,,,,,,,
5/24/2016,9:37:00,66.482,66.482,,32.1,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:37:10,23.119,24.564,22.8,32.2,4.8,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:37:20,20.26,20.26,,31.6,,,,,,,,,,,,,,,
5/24/2016,9:37:30,20.279,23.176,,31.3,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:37:40,23.183,24.632,22.8,31.2,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:37:50,20.299,20.299,,30.9,,,,,,,,,,,,,,,
5/24/2016,9:38:00,23.185,23.185,,31.1,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:38:10,14.489,15.938,22.8,31.2,4.8,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:38:20,20.268,20.268,,31.5,,,,,,,,,,,,,,,
5/24/2016,9:38:30,17.399,17.399,,30.9,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:38:40,17.378,17.378,22.9,31.3,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:38:50,20.283,21.732,,31.2,,,,,,,,,,,,,,,
5/24/2016,9:39:00,72.52,73.97,,30.8,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:39:10,14.488,15.936,22.9,31.2,4.8,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:39:20,31.893,34.792,,31,,,,,,,,,,,,,,,
5/24/2016,9:39:30,17.387,18.836,,31.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:39:40,37.633,39.08,22.8,31.5,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:39:50,31.883,33.332,,31.1,,,,,,,,,,,,,,,
5/24/2016,9:40:00,14.476,17.371,,31.5,,,,,1,0,0.02,1,,,,,,,
