Time [Hr:Min:Sec],Neph [ug/cm^3]
13:57:00,153.28
13:57:10,164.452
13:57:20,207.959
13:57:30,184.913
13:57:40,130.143
13:57:50,181.964
13:58:00,167.668
13:58:10,173.45
13:58:20,150.258
13:58:30,170.614
13:58:40,205.249
13:58:50,210.847
13:59:00,196.682
13:59:10,179.095
13:59:20,179.232
13:59:30,173.261
13:59:40,216.789
13:59:50,202.423
14:00:00,202.423
14:00:10,185.112
14:00:20,184.792
14:00:30,170.522
14:00:40,179.328
14:00:50,135.854
14:01:00,153.214
14:01:10,176.322
14:01:20,193.368
14:01:30,135.751
14:01:40,138.624
14:01:50,161.869
14:02:00,147.24
14:02:10,158.557
14:02:20,173.356
14:02:30,158.805
14:02:40,158.84
14:02:50,138.745
14:03:00,121.175
14:03:10,141.45
14:03:20,176.473
14:03:30,176.207
14:03:40,159.03
14:03:50,138.685
14:04:00,187.843
14:04:10,185.073
14:04:20,170.614
14:04:30,150.093
14:04:40,127.044
14:04:50,135.884
14:05:00,118.317
14:05:10,150.127
14:05:20,161.852
14:05:30,138.775
14:05:40,109.852
14:05:50,101.08
14:06:00,80.855
14:06:10,115.469
14:06:20,129.917
14:06:30,124.074
14:06:40,161.887
14:06:50,167.596
14:07:00,158.788
14:07:10,161.71
14:07:20,161.852
14:07:30,132.745
14:07:40,126.974
14:07:50,121.428
14:08:00,112.981
14:08:10,124.143
14:08:20,130.073
14:08:30,104.07
14:08:40,127.142
14:08:50,132.804
14:09:00,124.157
14:09:10,147.336
14:09:20,126.917
14:09:30,109.792
14:09:40,124.143
14:09:50,106.75
14:10:00,115.469
14:10:10,115.596
14:10:20,118.382
14:10:30,129.831
14:10:40,115.596
14:10:50,92.386
14:11:00,86.583
14:11:10,75.047
14:11:20,92.477
14:11:30,86.631
14:11:40,98.16
14:11:50,118.498
14:12:00,95.209
14:12:10,83.743
14:12:20,106.914
14:12:30,77.976
14:12:40,106.809
14:12:50,144.321
14:13:00,112.657
14:13:10,130.073
14:13:20,144.337
14:13:30,141.45
14:13:40,118.343
14:13:50,98.127
14:14:00,89.449
14:14:10,95.262
14:14:20,101.124
14:14:30,106.938
14:14:40,103.945
14:14:50,129.888
14:15:00,141.465
14:15:10,118.46
14:15:20,103.899
14:15:30,106.773
14:15:40,106.702
14:15:50,106.926
14:16:00,101.036
14:16:10,112.644
14:16:20,92.345
14:16:30,89.587
14:16:40,83.706
14:16:50,98.256
14:17:00,109.756
14:17:10,83.687
14:17:20,95.304
14:17:30,106.926
14:17:40,115.571
14:17:50,124.06
14:18:00,127.002
14:18:10,112.545
14:18:20,92.365
14:18:30,106.762
14:18:40,101.091
14:18:50,80.855
14:19:00,80.802
14:19:10,69.22
14:19:20,69.312
14:19:30,72.168
14:19:40,106.629
14:19:50,92.251
14:20:00,98.116
14:20:10,89.499
14:20:20,101.069
14:20:30,127.03
14:20:40,92.396
14:20:50,80.908
14:21:00,75.03
14:21:10,86.602
14:21:20,106.809
14:21:30,112.681
14:21:40,147.223
14:21:50,129.802
14:22:00,121.362
14:22:10,98.246
14:22:20,109.561
14:22:30,147.141
14:22:40,123.991
14:22:50,164.598
14:23:00,129.229
14:23:10,129.888
14:23:20,138.393
14:23:30,124.225
14:23:40,152.895
14:23:50,147.174
14:24:00,124.252
14:24:10,118.264
14:24:20,138.517
14:24:30,132.596
14:24:40,129.874
14:24:50,118.343
14:25:00,118.303
14:25:10,95.209
14:25:20,77.95
14:25:30,63.487
14:25:40,49.165
14:25:50,89.577
14:26:00,144.4
14:26:10,103.876
14:26:20,83.789
14:26:30,115.495
14:26:40,121.243
14:26:50,118.46
14:27:00,109.78
14:27:10,89.429
14:27:20,135.616
14:27:30,115.52
14:27:40,126.931
14:27:50,152.929
14:28:00,118.317
14:28:10,95.145
14:28:20,106.773
14:28:30,129.802
14:28:40,89.489
14:28:50,63.48
14:29:00,72.152
14:29:10,89.557
14:29:20,118.29
14:29:30,123.949
14:29:40,63.473
14:29:50,54.774
14:30:00,46.208
14:30:10,54.878
14:30:20,78.002
14:30:30,106.903
14:30:40,132.819
14:30:50,147.174
14:31:00,106.654
14:31:10,129.831
14:31:20,170.355
14:31:30,132.863
14:31:40,149.875
14:31:50,155.037
14:32:00,141.512
14:32:10,121.323
14:32:20,158.575
14:32:30,132.819
14:32:40,132.716
14:32:50,100.911
14:33:00,95.304
14:33:10,121.162
